Region,Year,Population,Is_forecast,Beds_per_1000,Hospitals_per_10000,Total_Beds,Intensive care,Pediatrics,Obstetrics and gynecology,Psychiatry and Neurology,Beds_needed_estimate,Hospitals_estimate
Al Bahah,2010,262457,False,3.7,0.28,1295,169,157,176,100,971.0909,7.348796
Al Bahah,2011,271954,False,3.7,0.28,1295,169,157,176,100,1006.2298000000001,7.614712000000001
Al Bahah,2012,281201,False,3.7,0.28,1295,169,157,176,100,1040.4437,7.873628000000001
Al Bahah,2013,293412,False,3.7,0.28,1295,169,157,176,100,1085.6244,8.215536
Al Bahah,2014,299886,False,3.7,0.28,1295,169,157,176,100,1109.5782000000002,8.396808000000002
Al Bahah,2015,312558,False,3.7,0.28,1295,169,157,176,100,1156.4646,8.751624000000001
Al Bahah,2016,321992,False,3.7,0.28,1295,169,157,176,100,1191.3704,9.015776
Al Bahah,2017,322779,False,3.7,0.28,1295,169,157,176,100,1194.2823,9.037812000000002
Al Bahah,2018,318510,False,3.7,0.28,1295,169,157,176,100,1178.487,8.918280000000001
Al Bahah,2019,319257,False,3.7,0.28,1295,169,157,176,100,1181.2509,8.939196
Al Bahah,2020,331305,False,3.7,0.28,1295,169,157,176,100,1225.8285,9.27654
Al Bahah,2021,327833,False,3.7,0.28,1295,169,157,176,100,1212.9821000000002,9.179324
Al Bahah,2022,339174,False,3.7,0.28,1295,169,157,176,100,1254.9438,9.496872000000002
Al Bahah,2023,348836,True,3.7,0.28,1295,169,157,176,100,1290.6932000000002,9.767408000000001
Al Bahah,2024,354688,True,3.7,0.28,1295,169,157,176,100,1312.3456,9.931264
Al Bahah,2025,360541,True,3.7,0.28,1295,169,157,176,100,1334.0017,10.095148
Al Bahah,2026,366393,True,3.7,0.28,1295,169,157,176,100,1355.6541,10.259004000000001
Al Bahah,2027,372245,True,3.7,0.28,1295,169,157,176,100,1377.3065000000001,10.42286
Al Bahah,2028,378098,True,3.7,0.28,1295,169,157,176,100,1398.9626,10.586744000000001
Al Bahah,2029,383950,True,3.7,0.28,1295,169,157,176,100,1420.615,10.750600000000002
Al Bahah,2030,389802,True,3.7,0.28,1295,169,157,176,100,1442.2674000000002,10.914456000000001
Al Jawf,2010,444672,False,3.2,0.24,1940,328,159,207,249,1422.9504000000002,10.672127999999999
Al Jawf,2011,461187,False,3.2,0.24,1940,328,159,207,249,1475.7984000000001,11.068487999999999
Al Jawf,2012,477818,False,3.2,0.24,1940,328,159,207,249,1529.0176000000001,11.467631999999998
Al Jawf,2013,499207,False,3.2,0.24,1940,328,159,207,249,1597.4624000000001,11.980967999999999
Al Jawf,2014,512630,False,3.2,0.24,1940,328,159,207,249,1640.4160000000002,12.30312
Al Jawf,2015,535411,False,3.2,0.24,1940,328,159,207,249,1713.3152,12.849864
Al Jawf,2016,553527,False,3.2,0.24,1940,328,159,207,249,1771.2864000000002,13.284647999999999
