Region,Model,RMSE,MAE,MAPE,R2
Al Bahah,LinearRegression,13370.45065141381,12672.727272727838,3.8130488848644886,-6.9415913639958715
Al Bahah,Ridge,12847.60254008782,12133.292614771053,3.6511058167441703,-6.3326276300324515
Al Jawf,LinearRegression,21987.491606318934,20677.22424242397,3.547131921007695,-4.985962516178719
Al Jawf,Ridge,20964.00194933438,19615.239121757448,3.365309671192903,-4.441654979175712
Al Madinah Al Munawwarah,LinearRegression,111714.25611252988,105322.75757575531,5.039218972134826,-9.426619612028293
Al Madinah Al Munawwarah,Ridge,108114.05656416496,101596.3225548764,4.861541389910521,-8.76541399651003
Al Qaseem,LinearRegression,65012.37155823473,61806.0060606127,4.720345746422142,-10.368158772529625
Al Qaseem,Ridge,62900.30774917328,59635.33772455901,4.5550020556101005,-9.641519705225576
Ar Riyadh,LinearRegression,569067.6822167981,535622.4303030173,6.406154897630369,-10.079220601414638
Ar Riyadh,Ridge,552429.1757605162,518373.5037924051,6.200846604441936,-9.440819296914377
Aseer,LinearRegression,74121.25228402103,69302.25454545517,3.5131686020928568,-3.4727644529736956
Aseer,Ridge,70459.9569748853,65468.66706587374,3.3193766993982146,-3.041804273458534
Eastern Region,LinearRegression,296569.4845719914,279103.2909091115,5.602499025972749,-7.736614722638578
Eastern Region,Ridge,286390.26308909187,268532.8203593095,5.391215767989374,-7.147169581854044
Hail,LinearRegression,26282.761971481686,24411.98181818177,3.3610712774102742,-2.703247141047858
Hail,Ridge,24857.482988844084,22910.527345317107,3.1549275512536403,-2.3124931905624537
Jazan,LinearRegression,54568.69502997724,51218.38181818277,3.7253781717641212,-5.817500463608747
Jazan,Ridge,52258.711920050955,48816.75129740188,3.5511186618236636,-5.252525072831936
Makkah Al Mukarramah,LinearRegression,585572.2637618744,554585.9696969589,7.055377024409205,-14.88818451676885
Makkah Al Mukarramah,Ridge,573138.432851733,541789.7944112023,6.893357143133724,-14.22061998751776
Najran,LinearRegression,24897.686023728183,23216.29090909039,4.023259920267689,-4.680090683834289
Najran,Ridge,23769.870967257517,22035.96167664851,3.81932491666526,-4.177152357909366
Northern Borders,LinearRegression,12795.532726582265,11912.678787879646,3.267491799270287,-3.2248285034115822
Northern Borders,Ridge,12111.517989619766,11195.607185628265,3.071230368757642,-2.7852058083264546
Tabuk,LinearRegression,31428.906181013637,29327.193939392764,3.3965119579245577,-3.150783273015822
Tabuk,Ridge,29792.98738428984,27612.279041916132,3.198412805298944,-2.729920971992536
