Region,Year,Predicted_Population
الباحة,2023,348836
الباحة,2024,354688
الباحة,2025,360541
الباحة,2026,366393
الباحة,2027,372245
الباحة,2028,378098
الباحة,2029,383950
الباحة,2030,389802
الجوف,2023,614229
الجوف,2024,626107
الجوف,2025,637985
الجوف,2026,649863
الجوف,2027,661742
الجوف,2028,673620
الجوف,2029,685498
الجوف,2030,697377
الحدود الشمالية,2023,385330
الحدود الشمالية,2024,393525
الحدود الشمالية,2025,401719
الحدود الشمالية,2026,409913
الحدود الشمالية,2027,418108
الحدود الشمالية,2028,426302
الحدود الشمالية,2029,434496
الحدود الشمالية,2030,442691
الرياض,2023,8932148
الرياض,2024,9108081
الرياض,2025,9284014
الرياض,2026,9459948
الرياض,2027,9635881
الرياض,2028,9811814
الرياض,2029,9987747
الرياض,2030,10163680
القصيم,2023,1378303
القصيم,2024,1400931
القصيم,2025,1423558
القصيم,2026,1446185
القصيم,2027,1468813
القصيم,2028,1491440
القصيم,2029,1514067
القصيم,2030,1536695
المدينة المنورة,2023,2209690
المدينة المنورة,2024,2248584
المدينة المنورة,2025,2287478
المدينة المنورة,2026,2326372
المدينة المنورة,2027,2365266
المدينة المنورة,2028,2404160
المدينة المنورة,2029,2443055
المدينة المنورة,2030,2481949
المنطقة الشرقية,2023,5318217
المنطقة الشرقية,2024,5430258
المنطقة الشرقية,2025,5542300
المنطقة الشرقية,2026,5654341
المنطقة الشرقية,2027,5766383
المنطقة الشرقية,2028,5878424
المنطقة الشرقية,2029,5990466
المنطقة الشرقية,2030,6102507
تبوك,2023,913605
تبوك,2024,933138
تبوك,2025,952671
تبوك,2026,972205
تبوك,2027,991738
تبوك,2028,1011271
تبوك,2029,1030804
تبوك,2030,1050337
جازان,2023,1447266
جازان,2024,1473749
جازان,2025,1500232
جازان,2026,1526714
جازان,2027,1553197
جازان,2028,1579680
جازان,2029,1606163
جازان,2030,1632646
حائل,2023,770074
حائل,2024,787283
حائل,2025,804492
حائل,2026,821701
حائل,2027,838911
حائل,2028,856120
حائل,2029,873329
حائل,2030,890538
عسير,2023,2086054
عسير,2024,2129408
عسير,2025,2172763
عسير,2026,2216117
عسير,2027,2259471
عسير,2028,2302826
عسير,2029,2346180
عسير,2030,2389535
مكة المكرمة,2023,8322993
مكة المكرمة,2024,8440075
مكة المكرمة,2025,8557156
مكة المكرمة,2026,8674238
مكة المكرمة,2027,8791319
مكة المكرمة,2028,8908401
مكة المكرمة,2029,9025483
مكة المكرمة,2030,9142564
نجران,2023,612373
نجران,2024,625554
نجران,2025,638735
نجران,2026,651917
نجران,2027,665098
نجران,2028,678279
نجران,2029,691461
نجران,2030,704642
